"CaseNr","Subject","Partner","Reconci","Affilia","Support","ConfInt","ConfDur","Context","RankDif","Latency","PartSex","RconDur","RenewAg","IniCnfl","IniReco","TimToRA"
128,"Deb","Jen",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
129,"Deb","Tim",0,"Average","no","NonPhys","63","Other","l",NA,"Female",NA,0,"Subject","None",NA
130,"Deb","Car",0,"Strong","no","NonPhys","10","Other","m",NA,"Female",NA,0,"Partner","None",NA
131,"Deb","Pat",1,"Weak","no","NonPhys","7","Other","s",2,"Female","17,0",0,"Partner","Subject",NA
132,"Emi","Pat",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
133,"Ash","And",1,"Strong","yes","NonPhys","2","Other","s",1,"Female","19,0",0,"Partner","Subject",NA
134,"Bet","Jes",1,"Weak","no","NonPhys","4","Other","l",1,"Female","3,0",1,"Subject","Partner",494
135,"Bet","Jes",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,1,"Subject","None",559
136,"Bet","Jes",0,"Weak","no","NonPhys","3","Other","l",NA,"Female",NA,0,"Subject","None",NA
137,"Ash","Nan",1,"Weak","no","NonPhys","9","Other","s",1,"Female","5,0",0,"Subject","Partner",NA
138,"Ash","Ric",0,"Weak","no","NonPhys","2","Other","s",NA,"Female",NA,0,"Partner","None",NA
139,"Ash","Tho",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
140,"Ash","Tho",0,"Average","no","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
141,"Bet","Jes",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
142,"Bet","Dav",1,"Weak","no","NonPhys","3","Other","l",2,"Female","2,0",0,"Subject","Subject",NA
143,"Bet","Ant",0,"Strong","no","NonPhys","1","Food","l",NA,"M",NA,0,"Partner","None",NA
144,"Bet","Tim",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
145,"Eli","Tim",0,"Weak","no","NonPhys","61","Other","l",NA,"Female",NA,0,"Subject","None",NA
146,"Eli","Jos",0,"Strong","yes","NonPhys","3","Other","m",NA,"Female",NA,0,"Subject","None",NA
147,"Eli","Mic",1,"Strong","no","Physical","2","Other","s",2,"Female","6,0",0,"beide","Subject",NA
148,"Marg","Joh",1,"Strong","no","NonPhys","5","Other","m",1,"Female","2,0",0,"Subject","Subject",NA
149,"Marg","Kev",0,"Weak","no","NonPhys","69","Other","l",NA,"Male",NA,0,"Partner","None",NA
150,"Marg","Rob",1,"Average","no","NonPhys","2","Other","l",1,"Female","5,0",0,"Subject","Partner",NA
151,"Deb","Car",0,"Strong","no","NonPhys","3","Other","m",NA,"Female",NA,0,"Partner","None",NA
152,"Deb","Nan",1,"Weak","no","NonPhys","1","Other","l",0,"Female","3,0",0,"Subject","Subject",NA
153,"Deb","Kev",0,"Strong","no","NonPhys","6","Food","l",NA,"Male",NA,0,"Partner","None",NA
154,"Deb","Pau",0,"Average","yes","NonPhys","4","Other","m",NA,"Female",NA,0,"Subject","None",NA
155,"Deb","Stev",0,"Average","no","NonPhys","48","Other","l",NA,"Male",NA,0,"Subject","None",NA
156,"Deb","Stev",0,"Average","no","NonPhys","31","Other","l",NA,"Male",NA,0,"Subject","None",NA
157,"Marg","Josh",0,"Strong","no","NonPhys","31","Other","l",NA,"Male",NA,1,"Partner","None",332
158,"Marg","Kev",1,"Weak","no","NonPhys","86","Other","l",1,"Male","5,0",0,"Partner","Partner",NA
159,"Marg","Kev",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
160,"Marg","Josh",0,"Strong","no","NonPhys","22","Other","l",NA,"Male",NA,0,"Partner","None",NA
161,"Mary","Mat",1,"Strong","yes","NonPhys","5","Other","l",6,"Male","3,0",0,"Partner","Partner",NA
162,"Mary","Pau",0,"Average","no","Physical","68","Other","s",NA,"Female",NA,0,"Partner","None",NA
163,"Mary","Nan",0,"Weak","no","NonPhys","2","Other","l",NA,"F",NA,0,"Partner","None",NA
164,"Emi","Dan",0,"Average","no","NonPhys","6","Other","l",NA,"Male",NA,0,"Partner","None",NA
165,"Eli","Mit",1,"Average","no","NonPhys","255","Other","l",181,"Female","1,0",0,"Subject","Partner",NA
166,"Ash","Lin",0,"Weak","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
167,"Ash","And",1,"Strong","yes","Physical","2","Other","s",1,"Female","3,0",1,"Partner","Subject",627
168,"Ash","Ken",0,"Strong","no","NonPhys","3","Other","l",NA,"Male",NA,0,"Subject","None",NA
169,"Ash","And",1,"Strong","yes","Physical","1","Other","s",1,"Male","9,0",1,"Partner","beide",47
170,"Ash","And",0,"Strong","yes","NonPhys","2","Other","s",NA,"Female",NA,0,"Partner","None",NA
171,"Lis","Ama",0,"Strong","yes","NonPhys","3","Other","l",NA,"Male",NA,0,"Partner","None",NA
172,"Lis","Lis",0,"weak","no","NonPhys","2","Other","l",NA,"Male",NA,1,"Subject","None",661
173,"Lis","Lis",0,"Weak","no","NonPhys","3","Other","l",NA,"Male",NA,0,"Subject","None",NA
174,"Marg","Josh",0,"Strong","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
175,"Marg","Joh",0,"Strong","n","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
176,"Marg","Mic",0,"Average","no","NonPhys","6","Other","m",NA,"Female",NA,0,"Partner","None",NA
177,"Marg","Stev",0,"Average","no","NonPhys","8","Other","l",NA,"Male",NA,0,"Partner","None",57
178,"Emi","Josh",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
179,"Emi","Ama",0,"Strong","no","NonPhys","3","Other","l",NA,"Male",NA,0,"Partner","None",NA
180,"Emi","Emi",1,"Average","yes","NonPhys","3","Food","l",164000,"Male","62,0",0,"Partner","beide",NA
181,"Emi","Nan",0,"Weak","no","NonPhys","3","Food","l",NA,"Female",NA,0,"Subject","None",NA
182,"Bet","Bri",0,"Weak","no","NonPhys","2","Other","m",NA,"Female",NA,1,"Partner","None",293
183,"Bet","Bri",0,"Weak","no","NonPhys","13","Other","m",NA,"Female",NA,0,"Subject","None",NA
184,"Bet","Bri",0,"Weak","no","NonPhys","53","Other","m",NA,"Female",NA,0,"Subject","None",NA
185,"Lis","Joh",0,"Strong","no","NonPhys","4","Other","m",NA,"Female",NA,1,"Subject","None",107
186,"Lis","Joh",0,"Strong","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
187,"Lis","Mel",0,"Strong","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
188,"Lis","Josh",0,"Average","yes","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
189,"Deb","Bri",1,"Weak","no","NonPhys","297","Other","m",1,"Female","31,0",0,"Subject","Subject",NA
190,"Eli","Kar",1,"Average","yes","NonPhys","2","Other","m",1,"Female","19,0",0,"Partner","Subject",NA
191,"Eli","Chr",1,"Average","no","NonPhys","6","Other","s",53,"Female","146,0",0,"Partner","Subject",NA
192,"Deb","Kev",0,"Strong","no","NonPhys","11","Other","l",NA,"Male",NA,0,"Partner","None",NA
193,"Deb","Pat",1,"Weak","no","NonPhys","2","Other","s",26,"Female","7,0",0,"Partner","Subject",NA
194,"Deb","Mel",0,"Strong","no","NonPhys","3","Other","l",NA,"Female",NA,0,"Subject","None",NA
195,"Emi","Pat",0,"Average","no","NonPhys","12","Other","m",NA,"Female",NA,0,"Partner","None",NA
196,"Emi","And",0,"Strong","yes","NonPhys","5","Other","m",NA,"Female",NA,0,"Subject","None",NA
197,"Emi","Ron",1,"Strong","no","NonPhys","9","Food","l",110,"Male","25,0",0,"Partner","Partner",NA
198,"Mary","Ama",0,"Weak","no","NonPhys","11","Other","l",NA,"Male",NA,0,"Partner","None",NA
199,"Mary","Ama",0,"Weak","no","NonPhys","71","Other","l",NA,"Male",NA,0,"Partner","None",NA
200,"Mary","Mic",0,"Average","yes","NonPhys","9","Food","m",NA,"Female",NA,0,"Partner","None",NA
201,"Mary","Rob",0,"Average","no","NonPhys","6","Food","m",NA,"Female",NA,0,"Partner","None",NA
202,"Mary","Step",0,"Strong","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
203,"Mary","Ama",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Subject","None",NA
204,"Bet","Chr",1,"Weak","no","NonPhys","5","Other","m",1,"Female","5,0",0,"Subject","Partner",NA
205,"Lis","Wil",0,"Average","no","NonPhys","5","Other","m",NA,"Female",NA,0,"Subject","None",NA
206,"Lis","Wil",0,"Average","no","NonPhys","3","Other","m",NA,"Female",NA,0,"Subject","None",NA
207,"Lis","Joh",0,"Strong","no","NonPhys","3","Other","m",NA,"Female",NA,0,"Subject","None",NA
208,"Lis","Mel",0,"Strong","no","NonPhys","4","Other","l",NA,"Female",NA,0,"Subject","None",NA
209,"Eli","Rob",0,"Strong","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
210,"Eli","Rob",0,"Strong","n","NonPhys","1","Other","m",NA,"Female",NA,0,"beide","None",NA
211,"Eli","Kev",1,"Average","yes","NonPhys","1","Other","l",1,"Male","2,0",0,"Subject","Subject",NA
212,"Ash","Kim",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
213,"Emi","Mark",0,"Weak","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
214,"Emi","Mit",1,"Weak","no","NonPhys","3","Other","m",1,"Female","19,0",0,"Subject","Partner",NA
215,"Marg","Mat",0,"Strong","yes","NonPhys","1","Food","l",NA,"Male",NA,0,"Partner","None",NA
216,"Marg","Car",0,"Average","no","Physical","8","Food","l",NA,"Female",NA,0,"Partner","None",NA
217,"Marg","Ron",1,"Average","yes","NonPhys","10","Other","l",1,"Male","13,0",1,"Partner","Subject",187
218,"Marg","Ron",1,"Average","yes","NonPhys","6","Other","l",1,"Male","10,0",1,"Subject","Partner",256
219,"Marg","Ron",1,"Average","yes","NonPhys","31","Sex","l",65,"Male","15,0",0,"Partner","Subject",NA
220,"Deb","Tim",1,"Strong","no","NonPhys","1","Other","l",1,"Female","54,0",0,"Subject","Subject",NA
221,"Deb","Ant",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
222,"Bet","Dav",0,"Weak","no","NonPhys","4","Other","l",NA,"Female",NA,0,"Subject","None",NA
223,"Marg","Ken",0,"Strong","no","NonPhys","14","Other","l",NA,NA,NA,0,"Partner","None",NA
224,"Marg","Ant",0,"Strong","yes","NonPhys","25","Other","l",NA,"Male",NA,0,"Partner","None",NA
225,"Marg","Marg",1,"Average","no","NonPhys","9","Other","l",1,"Male","1,0",0,"Partner","Partner",NA
226,"Marg","Kar",0,"Weak","no","NonPhys","18","Other","s",NA,"Female",NA,0,"beide","None",NA
227,"Marg","Wil",1,"Average","no","Physical","13","Other","m",2,"Female","44,0",0,"Partner","Partner",NA
228,"Marg","Rob",0,"Average","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Partner","None",NA
229,"Mary","Ant",0,"Average","no","NonPhys","11","Other","l",NA,"Male",NA,0,"Partner","None",NA
230,"Mary","Mat",0,"Strong","yes","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
231,"Emi","DonF",0,"Average","no","NonPhys","32","Other","l",NA,"Male",NA,0,"Partner","None",NA
232,"Emi","Wil",1,"Average","no","NonPhys","2","Other","s",0,"Female","33,0",0,"Partner","Partner",NA
233,"Emi","And",1,"Strong","yes","Physical","2","Other","m",1,"Female","54,0",0,"Partner","Subject",NA
234,"Lis","Tim",0,"Weak","n","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
235,"Eli","Ant",1,"Strong","no","NonPhys","2","Other","l",1,"Male","4,0",0,"Subject","Partner",NA
236,"Eli","Kim",1,"Weak","no","NonPhys","13","Other","l",15,"Female","9,0",0,"beide","Subject",NA
237,"Deb","Mel",0,"Strong","no","NonPhys","4","Food","l",NA,"Female",NA,0,"beide","None",NA
238,"Emi","Step",0,"Weak","no","NonPhys","6","Other","l",NA,"Male",NA,0,"Partner","None",NA
239,"Ash","Kar",0,"Average","yes","NonPhys","14","Other","m",NA,"Female",NA,0,"Partner","None",NA
240,"Marg","Wil",0,"Average","no","NonPhys","4","Other","m",NA,"Female",NA,1,"Partner","None",1392
241,"Marg","Wil",0,"Average","no","NonPhys","5","Other","m",NA,"Female",NA,0,"Partner","None",NA
242,"Marg","Car",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
243,"Deb","Mel",1,"Strong","no","NonPhys","2","Other","l",1,"Female","88,0",0,"Subject","Partner",NA
244,"Deb","Bri",1,"Weak","no","NonPhys","2","Other","m",1,"Female","23,0",0,"Subject","Partner",NA
245,"Lis","Dav",0,"Strong","no","NonPhys","1","Other","l",NA,"Female",NA,1,"Subject","None",161
246,"Lis","Dav",0,"Strong","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
247,"Bet","Josh",1,"Average","no","NonPhys","1","Other","l",1,"Male","33,0",0,"Partner","Partner",NA
248,"Marg","Kev",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Subject","None",NA
249,"Ash","Nan",0,"Weak","no","NonPhys","1","Other","s",NA,"Female",NA,1,"Subject","None",703
